 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:19:54    8.91    2000     OPV     EQB
 18:19:54    8.91       9     MSI     EQB
 18:19:54    8.91    4000     EQB     EQB
 18:19:52    8.91    1000     EQB     OPS
 18:19:52    8.92    8504     EVL     ENS
 18:19:43    8.94   11777     MLI     SHB
 18:19:43    8.94    5000     MLI     EQB
 18:19:43    8.94    2000     MLI     NRD
 18:19:43    8.94     500     MLI     DDB
 18:19:43    8.94     100     MLI     NON
 18:19:43    8.94    3000     MLI     EQB
 18:19:43    8.94    2200     MLI     EQB
 18:19:43    8.94     350     MLI     NRD
 18:19:43    8.94    1000     MLI     EQB
 18:19:43    8.93     995     MLI     DBL
 18:19:43    8.93    4300     MLI     ENS
 18:19:43    8.93    5355     MLI     EPB
 18:19:42    8.93     545     DDB     EPB
 18:19:42    8.93    1700     DDB     DBL
 18:19:42    8.93    1500     DDB     NON
 18:19:42    8.93      55     DDB     DBL
 18:19:34    8.93     788     ABC     DBL
 18:19:34    8.93    3900     ABC     MSI
 18:19:34    8.93    2400     ABC     DBL
 18:19:34    8.93     270     ABC     NON
 18:19:34    8.93     100     ABC     FIM
 18:19:34    8.93     300     ABC     NRD
 18:19:34    8.93    1939     ABC     GSI
 18:19:34    8.92    5000     EQB     NRD
 18:19:34    8.92    5220     MLI     NRD
 18:19:32    8.93    3061     GSI     GSI
 18:19:32    8.92    4400     MLI     ENS
 18:19:32    8.92    5000     EQB     ENS
 18:19:31    8.92    3803     MLI     MLI
 18:19:31    8.92    6197     MLI     MLI
 18:19:28    8.92     146     MLI     SGP
 18:19:28    8.92    4584     MLI     SGP
 18:19:27    8.92    5000     EQB     ENS
 18:19:27    8.92    5000     MLI     ENS
 18:19:23    8.92    3283     MLI     BPP
 18:19:23    8.92    4604     MLI     BPP
 18:19:23    8.92    4604     MLI     SGP
 18:19:23    8.92    4604     MLI     SGP
 18:19:23    8.92    4604     MLI     SGP
 18:19:23    8.92    4604     MLI     SGP
 18:19:23    8.92    1509     MLI     BPP
 18:19:23    8.92    4604     MLI     BPP
 18:19:23    8.92    4604     MLI     SGP
 18:19:21    8.92     250     MLI     FIM
 18:19:21    8.92    7146     MLI     ENS
 18:19:21    8.92     704     GSI     ENS
 18:19:21    8.92    3100     EQB     ENS
 18:19:20    8.92    1900     EQB     EPB
 18:19:20    8.92    5000     MLI     EPB
 18:19:19    8.93     600     EQB     NRD
 18:19:19    8.93     400     EQB     EQB
